Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
-54.1036209737334,-71.18001858821923,172.60534303395735,378.0,-16591.0,1379.0,-571.0,-412.0,292.0,173.875,325.0,56.0
-67.03489053977017,-59.56889220497656,177.6601681213581,-192.0,-16550.0,32.0,10.0,33.0,35.0,176.5,338.0,67.875
-75.76344682246166,-49.33927793022544,178.9863174360479,-668.0,-16910.0,-294.0,-15.0,-8.0,-369.0,147.375,342.0,55.5
-66.26044125653323,-49.13301628829054,169.00198032961282,6178.0,15155.0,-46.0,201.0,-14.0,-310.0,44.75,-181.625,126.0
-57.9742044140245,-47.87323258222284,160.62318435308418,4995.0,15500.0,-34.0,26.0,19.0,-73.0,56.375,-188.125,130.75
-52.3855685540033,-45.27818711175448,155.26902829156055,6919.0,14522.0,1323.0,-317.0,595.0,670.0,41.75,-153.625,80.375
-40.35792658944117,-39.08862647718273,153.7470560698809,-287.0,-1071.0,15859.0,21.0,-117.0,51.0,171.0,103.25,-98.5
-29.382795578504172,-34.12164505930314,152.8577356604953,2411.0,-65.0,16150.0,-1.0,52.0,10.0,145.5,98.375,-112.0
-1.0837685219416617,-0.3803181794228568,176.3668250038301,759.0,631.0,16654.0,-512.0,256.0,-168.0,208.875,63.125,-52.25
8.557441996579472,-10.33026300561508,-177.06565145677516,7189.0,6513.0,13319.0,756.0,-1342.0,203.0,55.875,-53.125,-44.25
6.5470605244070565,-10.255491620978708,-175.93786535375392,3813.0,196.0,-16420.0,-596.0,268.0,-90.0,45.25,-72.0,558.875
4.45768928923957,-9.455720101908645,-175.10404812607362,1961.0,288.0,-16801.0,-668.0,364.0,-138.0,62.75,-77.125,564.75
4.917931172865422,-18.7229966509101,-174.87362817349376,12364.0,9559.0,-881.0,-4798.0,2954.0,46.0,-16392.5,-124.625,62.125
2.4178133458202424,-15.17874665516496,-178.88033779660867,422.0,-1106.0,17117.0,-806.0,-19.0,-263.0,239.0,55.5,-45.75
0.30470624869902463,-11.917774364170302,176.7881851507223,463.0,-445.0,16394.0,-663.0,362.0,132.0,214.25,85.375,-64.875
-1.3226439927262028,-9.656712721395001,172.817084782999,794.0,-60.0,16347.0,-667.0,348.0,-152.0,204.75,85.125,-74.375
-2.5933787988067096,-7.86154255190853,169.61962664496073,821.0,-73.0,16357.0,-666.0,366.0,-152.0,203.25,86.125,-73.5
